id,name,line,googleMapsLink,coordinates,latitude,longitude,notes
10,Burns Commons,M-Line,"https://www.google.com/maps/place/Burns+Commons/@43.0487417,-87.9023955,16.09z/data=!4m6!3m5!1s0x88051902dc87f1d1:0x18e777e70ac0e151!8m2!3d43.047833!4d-87.896236!16s%2Fg%2F11fjt6w5j2","43.047849400341725, -87.8962310866847",43.0478494,-87.89623109,This is the turn-around point for the M-Line
9,Ogden at Astor Eastbound,M-Line,"https://www.google.com/maps/place/Ogden+at+Astor+Eastbound/@43.0480441,-87.9001539,46m/data=!3m1!1e3!4m6!3m5!1s0x88051904bbca62ad:0xc44abf1a480f1c6d!8m2!3d43.0480788!4d-87.899997!16s%2Fg%2F11h38z4fwc","43.048084613713165, -87.89999730742518",43.04808461,-87.89999731,This stop intersects with the #14 and #30 MCTS Lines
11,Ogden at Astor Westbound,M-Line,"https://www.google.com/maps/place/Ogden+at+Astor+Westbound/@43.0480441,-87.9001539,46m/data=!3m1!1e3!4m6!3m5!1s0x88051904ba3ee115:0xe512525a6e57e464!8m2!3d43.048151!4d-87.900005!16s%2Fg%2F1tdblks9","43.04815523271704, -87.90000536034293",43.04815523,-87.90000536,This stop intersects with the #14 and #30 MCTS Lines
12,Ogden at Jackson Westbound,M-Line,"https://www.google.com/maps/place/Ogden%2FJackson+Westbound/@43.0480352,-87.9047457,99m/data=!3m1!1e3!4m6!3m5!1s0x8805190fed368981:0x3bcefbcbb49e9d9d!8m2!3d43.0477428!4d-87.9047571!16s%2Fg%2F1tdcs2zc","43.04774197690449, -87.90475737294884",43.04774198,-87.90475737,The stop is near East Pointe Market Place
8,Ogden at Jackson Eastbound,M-Line,"https://www.google.com/maps/place/Ogden%2FJackson+Eastbound/@43.0481537,-87.9048852,114m/data=!3m1!1e3!4m6!3m5!1s0x88051905596f467b:0xcfb9e09029e27c34!8m2!3d43.0481037!4d-87.9037925!16s%2Fg%2F11h38z6xq8","43.04810350169853, -87.90379145149618",43.0481035,-87.90379145,The stop is near East Pointe Market Place
7,Jackson at Juneau Northbound,M-Line,"https://www.google.com/maps/place/Jackson+at+Juneau+Northbound/@43.04603,-87.9068839,551m/data=!3m2!1e3!4b1!4m6!3m5!1s0x8805190f707b8dcd:0x3de1da0b52267423!8m2!3d43.04603!4d-87.9046952!16s%2Fg%2F1tfgkcyt","43.04602834789015, -87.90469399110991",43.04602835,-87.90469399,This is next to the Juneau Ave Post Office.
13,Jackson at Juneau Southbound,M-Line,"https://www.google.com/maps/place/Jackson+at+Juneau+Southbound/@43.045413,-87.9069742,551m/data=!3m2!1e3!4b1!4m6!3m5!1s0x8805190f68507573:0xcf735c558e13f7d0!8m2!3d43.045413!4d-87.9047855!16s%2Fg%2F11h38z6dpt","43.045411060249904, -87.90478539690712",43.04541106,-87.9047854,This stop is next to the Van Buren St Metro Market
06B,Cathedral Square Westbound,M-Line,"https://www.google.com/maps/place/Cathedral+Square/@43.042567,-87.9072117,551m/data=!3m2!1e3!4b1!4m6!3m5!1s0x8805190893f7d6d7:0x91d512518a5d7c48!8m2!3d43.042567!4d-87.905023!16s%2Fg%2F1tdn4p10","43.04257201488982, -87.9050184727708",43.04257201,-87.90501847,"This stop is near the 
Cathedral of St. John the Evangelist and the Tenor High School Cathedral Square Campus"
06A,Cathedral Square Eastbound,M-Line,"https://www.google.com/maps/place/Cathedral+Square/@43.042567,-87.9058061,276m/data=!3m2!1e3!4b1!4m6!3m5!1s0x8805190893f7d6d7:0x91d512518a5d7c48!8m2!3d43.042567!4d-87.905023!16s%2Fg%2F1tdn4p10","43.042566537461795, -87.90502417294843",43.04256654,-87.90502417,"This stop is near the 
Cathedral of St. John the Evangelist and the Tenor High School Cathedral Square Campus"
5,City Hall Northbound,M-Line,"https://www.google.com/maps/place/City+Hall+Northbound/@43.0415273,-87.9089399,551m/data=!3m2!1e3!4b1!4m6!3m5!1s0x88051909abcba8dd:0x25922ea3ee13e52b!8m2!3d43.0415273!4d-87.9067512!16s%2Fg%2F11h38z60v8","43.04152445168539, -87.90675060431079",43.04152445,-87.9067506,This stop is near Real Chili and the 91.7 FM Studios
14,City Hall Southbound,M-Line,"https://www.google.com/maps/place/City+Hall+Southbound/@43.041476,-87.9103076,551m/data=!3m2!1e3!4b1!4m6!3m5!1s0x880519099c14d369:0xd9e8510593d6cf7!8m2!3d43.041476!4d-87.9081189!16s%2Fg%2F11h38z7p0c","43.04147283829054, -87.90811875236797",43.04147284,-87.90811875,This stop is near Old St. Mary's Catholic Church and Milwaukee City Hall
15,Wisconsin Avenue Southbound,M-Line,"https://www.google.com/maps/place/Wisconsin+Avenue+Southbound/@43.038332,-87.9099633,551m/data=!3m2!1e3!4b1!4m6!3m5!1s0x880519a741efff6b:0xd5ba050b55321f39!8m2!3d43.038332!4d-87.9077746!16s%2Fg%2F11h38z8pqn","43.03833105384128, -87.90777459219375",43.03833105,-87.90777459,This stop is near Downtown Books and the Iron Block Building
4,Wisconsin Avenue Northbound,M-Line,"https://www.google.com/maps/place/Wisconsin+Avenue+Northbound/@43.0383765,-87.9086775,551m/data=!3m2!1e3!4b1!4m6!3m5!1s0x880519a79dfa2dad:0x27fa87e47fb32a42!8m2!3d43.0383765!4d-87.9064888!16s%2Fg%2F11fjt6t1xk","43.0383765422138, -87.90648826006527",43.03837654,-87.90648826,This stop is near 411 East Wisconsin Center and the Milwaukee Federal Building
16,Historic Third Ward Westbound,M-Line,"https://www.google.com/maps/place/Historic+Third+Ward+Westbound/@43.0350263,-87.9097228,551m/data=!3m2!1e3!4b1!4m6!3m5!1s0x880519a6afd3fe93:0x8a1ca01e585e8524!8m2!3d43.0350263!4d-87.9084841!16s%2Fg%2F11h38z70_g","43.035029504618215, -87.90848673081531",43.0350295,-87.90848673,This stop is near the Milwaukee Public Market
3,Historic Third Ward Eastbound,M-Line,"https://www.google.com/maps/place/Historic+Third+Ward+Eastbound/@43.0350389,-87.9081637,551m/data=!3m2!1e3!4b1!4m6!3m5!1s0x880519a68f649a6d:0xc66fc760ce5bf771!8m2!3d43.0350389!4d-87.906925!16s%2Fg%2F1tff857v","43.035036428491786, -87.9069250026054",43.03503643,-87.906925,This stop is near Café Benelux and The Institute of Beauty and Wellness
17,Saint Paul at Plankinton Westbound,M-Line,"https://www.google.com/maps/place/St.+Paul+at+Plankinton+Westbound/@43.034774,-87.9136747,551m/data=!3m2!1e3!4b1!4m6!3m5!1s0x880519a181f36adf:0x7e6a6fd118443c65!8m2!3d43.034774!4d-87.911486!16s%2Fg%2F11h38z75qr","43.034772877137655, -87.91148625316248",43.03477288,-87.91148625,This stop is near the Pritzlaff Building and Ward4 Coworking
2,Saint Paul at Plankinton Eastbound,M-Line,"https://www.google.com/maps/place/St.+Paul+at+Plankinton+Eastbound/@43.0346968,-87.9136533,551m/data=!3m2!1e3!4b1!4m6!3m5!1s0x880519a181c45ce5:0xbdddeb9f4c42d45e!8m2!3d43.0346968!4d-87.9114646!16s%2Fg%2F11fjt6wrpl","43.03469532829559, -87.91146460019797",43.03469533,-87.9114646,This stop is near the Pritzlaff Building and Ward4 Coworking
1,Intermodal Station,M-Line,"https://www.google.com/maps/place/Intermodal/@43.0348971,-87.9202555,551m/data=!3m1!1e3!4m6!3m5!1s0x8805199f297c8c3d:0xf422770346578ba0!8m2!3d43.0348971!4d-87.9161356!16s%2Fg%2F1ttpbwkj","43.03489587237954, -87.9161349520352",43.03489587,-87.91613495,"This stop is near the Intermodal Station, the Stone Creek Coffee Factory Store, and the Downtown Post Office"